S.No,Comments,Label
1114,tdp ki yeppatikaina maa anna ntr garey paggalu chepadathadu,non-hate
1115,vijay devarakonda hype tho dhamal jr ntr next turn meeru akashaniki ethe antha great actor emi kaadu,hate
1116,pawan kalyan gaari range ki thaga heroes leru,non-hate
1119,ni moham ante kada,hate
1120,ap ki manchi rojulu vasthundhi,non-hate
1123,cbn sir ap kosam meeru ipudu manchi decision thesukunnaru,non-hate
1124,anni kalisi velthe ne votes diffrent ippdu cm ga unndu ippduendhi meeru peekedhi wait cheyyndi varaku,hate
1125,nda thoo tdp potthu ap bhavishyuth ki manchidy,non-hate
1126,thank you rrr tdp ki bratkinchadamulo mi krushi marvalenidi cbn gariku,non-hate
1128,raju garu me pandula gumpulo pakka state party laki kuda techukuni poti cheyandi adangi vedavallara simham single jagan single ga vostadu meku dabidi dibide,hate
1134,im full ram charan fan ee song keka mobile lo audio times vinna movie blockbuster congratulations kalyan ram anna,non-hate
1136,unexpected song asalu theater lo chusaka mind poindhi aapatti nundi waiting ee video song kosam,non-hate
1140,bimbisara lo unna anni songs chaala bagunnay,non-hate
1146,amazon prime lo lucifer ani type chesthe story enti complete movie osthundhi,non-hate
1149,vallu andharu godavalu lekunda bagane vuntaru nelanti valle over action cheysthuntaru,hate
1151,bocchem kaadu andharu waste galle,hate
1152,kapu ante balupu kaaadureddy chowdary veellaki unnantha balupu kapu ki undadu,hate
1159,congress chesina aa thappu ippudu congress party address lekunda poyindhi,hate
1160,maadi andhara guntur naa aveda telangana khammam im telugu peoplesjai telugu,non-hate
1161,ma daridram vadili poindi ra babu,hate
1168,road pakkana vallu andaru bayatiki vachavuga,hate
1169,mirror mirror ichadu devudu podhune chusuko amma chance ela ichestaru nee moham nuvy ni ae face petukoni vachestaru amma babu industry ki,hate
1170,chavu nenu avadu apadu,hate
1171,swathi naidu ki srireddy ki cheppu amma pathivratha,hate
1172,chi chi ye graham nundi ocharra babu vellu veellani adavallu ani kooda antara,hate
1173,direct red light area nunchi vaccharu anukuntathu thu,hate
1174,vammoooem anna action aah e action movie lo chala hits vachevi,non-hate
1175,i love you rakul dhairam ga undu,non-hate
1176,vippi thiriginaudu lendhi evalla ed case book ithy noppi vasthundha niku siggu undale kadha annam thintunava inka m thintunav,hate
1177,ktr kuda press meet padthey baguntadi,non-hate
1178,parents ani ippudu antunnav meru movies lo chese romance parents ni drushti lo pettukoni children ni drushtilo pettukoni chesthunnara,hate
1186,super ga chepparu like a teacher good knowledge,non-hate
1187,chala baga chepparu sri reddy garu plz continue and all the best,non-hate
1195,true mamu monna ap liquor tagamu ongolu lo worest quality india lo akkada vundadu,hate
1197,paramboku ias officers ni vetiki kcr jagan tesku vachi ap telangana lo pedtaru,hate
1198,votes vesi gelipinchukonivisham taaguthunnaru ap people,hate
1199,lani tondaraga jail ki pampali appude prajalu prasaanthanga untaru,hate
1200,vote vesetappudu jagratthaga alochinchi nijayathi parulaki vote veyyali lekapothe ilaage untundhi,non-hate
1201,arey babu neevu mandu thagava pachi abaddalu chepputhunnaru neevu press munduku vachi matladedi mandu kotti kada dhairyam kosam,hate
1203,confirm ga cheptunna one week lo case close chestaru ammai ku justice garagadu ade poor people inte ippatile encounter chesindevallu,non-hate
1205,major minor ani alochinchi crime chesara every crime must be punished minor musugulo mla kodkuni tapinchela unaru a ichi,non-hate
1206,cc lo unnadhi audi car and nd car ki bumper ledhu kani ippudu unnadhi audi car benz ayindhi,non-hate
1207,traffic police pikthunara nundi number plate petkokunda tr number tho untey,hate
1208,media mundhu enduku pettatledhuasalu nijamganey arrest chesara,non-hate
1209,andarni encounter chesi padeyandi sir file close cheseyandi matter over,hate
1210,evidence unna mla kodukuni arrest cheyaledhu police lu ki dammu ledhu,hate
1211,minor major ani kadhu mind set important major ithe emina chayacha first e role thisayali,non-hate
1212,first aa ammai family ki security ivvandi night night emaina jaragochu,non-hate
1213,disha case lo encounter chesaru mari e case lo encounter chese dammu undaha,hate
1219,fuchur world cup ni drusti lo pettukoni bcci rohit ni ceptain ga select chesindi kohli lo goppa captain kani okka sari kuda icc cup gelavalekapovadam valla rohit ki chance echindi,non-hate
1220,mundu aa thumbnail thiseyandi please respect players evadu ani ala thumbnails pettakandi,non-hate
1221,arey ntv meeku hindi english rakunte musukoni undu kohli manchiga cheppadu rohit manchi friend ani idhi yrs nuchi cheppi cheppi alisipoya ani mee news kosam godava pettakandi,hate
1222,india ki enno match lu gelipinchadu,non-hate
1223,anchor talli please give respect to the elders may be ka pal is very bigger than you,non-hate
1224,kohili lanti player india ki dorikina great player,non-hate
1225,kohli mundu aata kante attitude meeda focus cheyyali greedy fellow vadito manchi ga vunte team lo chance istadu,hate
1228,karma ra babu yesterday kohli interview lo clarity ga cheppaduga mallem ra babu ilanti sollu cheptharu,hate
1229,vadapav gaadu icc trophy elaa win aiythadoo neenu chusthaa,hate
1231,ede antha fack news,non-hate
1232,niku cheppada kohili one day adanu ani,non-hate
1234,inka yeppudu marutharu ra meru news chepadam kuda rakapothe channel musukoni velipondi meeru me chillar news channels have some standard u bloody news channels school kids can have more basic common sense better than your reports,hate
1235,adhi bcci kaadhu business cricket india,hate
1236,sodhi tappa em ledu indulo cheppindi cheppi okate music,hate
1237,kohl carrier niii tokkalanii chustunnaru evaroo,non-hate
1238,aree babu anchor niku virat vchi chpnda nak rohit ki godval unnay ani chpnapud nikendhuk ra dhula muskoni undaka,hate
1239,asalu meeku elaa telustunnay rohit ki and kohli ki godavalu unnay ani politics ni ilaane chedagottaru ippudu malli cricket meeda paddara eraa meku intha kante manchi jobs dorakava thu,hate
1240,kohli lekapote gelvaru ra sullli galllaraa,hate
1241,chetha ra babu ntv,hate
1242,chepina sode times chepave,hate
1243,virat kohli thopu dammunte appu king always kingeeeee,non-hate
1244,bjp anti hindu kotha party power loki ravali congressbspsptmcaapseesee new startup is waiting,non-hate
1245,prophet muhammad even married his own bahu zainab was wife of prophet adopted son,hate
1246,prophet marry year old aisha,hate
1247,raja singh kalthi maal ammutharu and rowdy gunda,hate
1249,vadu oka pulihora jagan gadu,hate
1250,jagan corporate ki paniki radu waste fellow,non-hate
1253,anna nuv goppa yodhudivi entha mandhinaina edhuristhaav great anna,non-hate
1257,malla reddy peddha erripuku gadu clg motham scam,hate
1261,modi oka mordern day hitler,hate
1262,chetta media pade pade kualam peruvtistundi ade mana states lo tiyagalada oka rendu samajika varagam nunde cm avtunnaru mari cheyagalara ledu,non-hate
1264,devi nagavalli nuvvu kani regsin cheyakunde mi intiki vachi champi pari dengutha,hate
1268,rk ki sugar ekkuva uncha apuko pakanna vadidhi cheppadhi vinnu,hate
1274,anna creativity ki super anna ekadavo vethiki mari pettavu nuvu thopu,non-hate
1275,boycott bollywood pakwood beef eater pichhwada sungher boycott brahmaastra,hate
1276,liger debbadi konda anna gudda mooskoni vunnaru,hate
1277,pila nibha star vijgay overkonda guddakonda,hate
1280,assoya aunty and snow aunty manchi vallu,hate
1285,arey meeru poorugullu patti potaru ra ma vd anna support cheyandhi,non-hate
1286,ntha brainwashed gorrelu chesthunnaru inko vargam enti ante bjp bots ssr influencers ga mari yuvatha ni thappu thovva pattisthunnaru a,non-hate
1287,antha lnja ananya inka sulli legaleni karan johar valla,hate
1288,ntr rc fans kuda troll cheyali because vijay devarakonda indirectly targeted ntr rc on the day of liger trailer release konda meeku ma nanna thata teliyadu ani anadu naku vijay devarakonda disaster movies telusu,hate
1289,inko rendu padithey aa migatha dula kuda theerpoddi uday kiran,non-hate
1290,vd manchi actor kaani konchem decent ga matladite andariki nachutundi and mee vd inka famous hero avvochu kada just my opinion anthe,non-hate
1291,vd overconfidence valla ciniema dengindhi,hate
1292,porapatuna cinema bagaledu janalu raledu ante paristiti vijayintlo padukovalsinde,non-hate
1294,langota gadu vadu valle desham anta covid vachindhi,hate
1295,moddalo china vallu pampulu kappalanu tinte edhey avuthundhi ni malla million deaths,hate
1296,lokham prathi covid patient ki winne the pooh nichi vasool chesukovali,hate
1297,​bharath matha ki jai,non-hate
1304,nupur sharama rape cheshi dengutha,hate
1305,prophet mohummad oka years ammai dengadu,hate
1306,yogi ni cm cheyadam valla up lo communal fights ekkuva ayyayi hindubjp,non-hate
1307,lanja nupur sharma valla desham sankanakipoyindhi,hate
1308,abboo siggulekundaa vadu matladina matalu okkadu kuda levaledu ikkada just for hate in modi how much low can go anywhere,non-hate
1310,owasi gah nuvvu gudda mosuko nuvvu ha nupur desham malla loki poyindhi kill owasi rapenupur,hate
1311,donga munda bjp party rapists brahamins anni vadilidengaru villaka manam vote vesindhi oustmodi,hate
1315,niku champi pindam peteydhi neny ra kcr,hate
1316,​kcr dalita cm ani mosam chesinattu deshaprajalanu mosam cheyalevu,non-hate
1317,britain chethulu kaalayi chinas drama la thoti so jaagratha has britain vundaali britain konni thyagaalu cheyyali,non-hate
1319,central la bjp ye undi gaara kcr ni yem peekaleru ani ardamaindhi,non-hate
1320,jetla ​india ni developed cheyadam evarivalla kadani thelisipoindi prajalakiunnodi inka unnntha lenodiki inka lenanthalife tho brathakali thappadu,non-hate
1321,banda puku jay gadu bat ela patuvukovali kuda telidhu bcci lo em pani,hate
1322,pm modi ni pakisthan ki tarmidengali jai kcr mere next pm,hate
1323,mandhi hindus ni champina modi malla vadu oka pm,non-hate
1324,women ki respect ledhu malla vadu oka yogi malla ha modda cm kurchi lo vundhi,hate
1325,raja singh nuvvu ni karra tagubthu mokam neeku mokham nuvvu mla ela ayyavu,hate
1326,asla murmu president ela ayindhi india parvu poyindhi ni karra mokham eskoni,hate
1327,arey thagu bothoda nuvvey cheppinav ga ra yekaraluani enti oka job annav eppudu nen analey antav endi ra bewakoof cm ga,hate
1329,media lu bjp thothulu bjp ni chusi avaru vote veyaru candidate chuastharu anni andhari ke thelusu jai congress,non-hate
1330,owasi bros nupur raja singh ni pakistan ledha andaman ko tarmidengali the people who divide india,hate
1331,arey devudi dabbulu ra avi vati gurinchi nduku ra asha kakapothay…devudu dabbu devudikay…dani kuda too much chestru meru,non-hate
1332,chiru papam lal singh chada valla cr loss aiyadu,non-hate
1336,ndharu evarni choosthunnaro kaane nenu maatram real hero sonusood sir ni choosthunna,non-hate
1337,evadiki vadu acting eraga tistunnaru,non-hate
1338,rgv ki siggu ledhu ammail ni oka sex doll laga choostahru,hate
1340,jai rgv jai puri,non-hate
1343,anna malla reddy nv me college lo fee thakuva cheyu chalu nv kaarmikulani billionaires chesthava,non-hate
1344,fingerprint mallareddy pedda donga na kodku,hate
1346,malla reddy garu meru ap ni kindaparicharu talangana lo vantana andra pradesh prajalu satam vnaru gutupetukondi noru jararu meku ok vesayamtelusa cm kcr ktr vizayanagaram bedani telusa chutu pakala andra valuvnaru megastar chiranjeevi anr ntr valadi kuda andra pradesh jagrata malla reddy ki dolaterustru jai andra jai telangana,non-hate
1348,rgv gadu canipovali vadi chettabandi ayina chestha,hate
1349,orey baffun gaa college fees lu thakkuvva chesthee nee mukaniki adi chaluu,non-hate
1350,are vidu ml thagi vachindo,non-hate
1351,malla anna ha puk gadu vadu kani danam cheyali pasnari puku vadidhi,hate
1352,kcr na madda chesindu rs,hate
1353,donganakodukulu ma mallana vadu chetha butta dabbulu erukoney rakam,hate
1354,malla anna niku picchi kani lesinndara sulliga,hate
1367,idini gelipinchina voters nizamga medhavulu,non-hate
1368,malla oka donga veda vadu lanja eshalu fees tagincharu gani desham ni uddharistharu,hate
1370,kcr ni chusi vallabhai patel anukunnademo,non-hate
1371,​bindu hi tinnava m chestunnav,non-hate
1374,samantha vachi ni payal chikala,hate
1375,aunty anushaya make up esthe aunty laga vunnavu make up esukokapothe grandma laga vuntavu,hate
1378,pichi pattatina malla reddy murki kaluvalo dabbulu eruthu dorikadhu,hate
1381,orey pichi ka paul ekkada nuchi dengay already ap jagan tho almost nasitam ayindhi malla nuvvu next cm ha po ra pichi yedava,hate
1383,malla manchi erri puku vodu,hate
1386,ananaya panadey ni nuvvu koja la acting neek endhkey cinimalu,hate
1387,orey puk puri mari anta moddalo cinimea endhuku tesavavu cheppu oksari,hate
1388,poyi central appulu chudu hunger index inflation poverty unemployment etc telangana lo least unemployment and development is peaking up rapidly,non-hate
1390,amma telaganama buthulu nerpina gaanama this is the butulua rajayam na moddala telangana,hate
1392,bandi breaks goranga tisadu super,non-hate
1395,as he is a hindu hes fighting against all such stupidism and its no where relevant to crossing party line,non-hate
1400,raja singh ki em pani pata ledha eppudu langa kathalu dengutharu paata nachaka potey gudda moskoni dengey ekkdada nunchi,hate
1406,dsp nuvvu asala manchi manishi ledha bazzar lanja vi ha,hate
1407,raja singh inka subramianchi swai iddaru mosali modda gallu asla mi badha enti,hate
1411,asla munawar ni endhuku deport cheyali chesthe ni pellam puku deport chestha,hate
1418,munawar moosi nadhi ayina nooru valla enni godavalu deport munwar to afghan or syria,hate
1419,muslims andarini pakistan ledha afghan ko deport cheyali,hate
1423,sanjay kumari first ma raja singh free cheyandhi ledhu ante mi moddalo party vachina vote luda vundhahiu,hate
1424,ee muslims minority lo vuntay secular equal rights kavali valaku muslims majority lo vuntay above equal rights kavali apudu valaku secularism gurthuradu examplskeral,non-hate
1425,muslims hindu devullanu entha thittina parledhu kaani hinduvulu mee devudini thidithe thappenti,non-hate
1426,asalu munnavar ki hyderabad lo show ki ela permission istharu government desperately need violence in state to gain political mileage,non-hate
1432,yogi yogi na moddalo yagi mi up ekkada kerala ekkada mi vallani english kuda radhu rowdy moddalo metho maku comparision enti,hate
1437,old city lo vallani pakistan ki tharimi dengali india with only hindu,hate
1440,useless trs vallani champidenagli vallu hindus ey kadhu,hate
1443,bandala anna majaka asla maatalu ha comedy salute,non-hate
1444,rana blood lo vundhi actiong,non-hate
1445,pogadali rana ni kuda hypocritic director,hate
1446,bahubali hero rana ani maku thelusu sir,non-hate
1447,edo sollu chepthadu,hate
1448,nvvy nee build up,hate
1449,eka sodi cheppadam maymu venadam aripapalam,hate
1450,yedichav le copy cat veshalu nuvvu,hate
1451,peekinav teei,hate
1453,super star krishnagari movie vundiga ee name tho movie,non-hate
1454,cinema ku title ku samndham ledhu average,non-hate
1455,title leak ayithe entiii leak avakapothe entiiimaku enti yee golaaatitle entooo mee build up entooo,hate
1456,leak endhi ra secret aaa dhii,hate
1457,emi thintaru sir miru age daggare agipoindi,non-hate
1458,mahesh anna… disappointed with this movienext movie hit avvali…,non-hate
1459,sollu cheppalante veedi tarvathe raa dabba babu,hate
1463,nenu kuda yedi chesina moodurojula muchatalaagane vuntadi sir continues ga days chesi life long habit ga chesukundamu ante avvatamle,non-hate
1464,ee principal ni studies lo use cheste upsc clear cheyagalam,non-hate
1465,antha navvem raaledhu in fact chiraaku vachindi,hate
1466,naku adhe kavali shudheer anna,non-hate
1467,vedu maradu,hate
1470,prabhas anna and mahesh anna iddari combination lo manchi pan indian movie cheyali peda hit koduthe dimma terige povali iddari acting addarakottali,non-hate
1471,prabas gaaru ante ok madhya jalaganna endhuku raa oh prabas ki dhisti thagalkunda undatanika,hate
1472,prabhas ki elanti cheep unnanduku chala badhaga undhi,hate
1473,mahabharatam lo sakhuni mama famous mana andhra bharatam lo jagan mama famous,hate
1474,arri pappa prbhas aunty barre fece vanidhi,hate
1475,veedi comedy kosam valla nannani kuda vadalaledu,hate
1476,stage ekkithe chalu sollu,hate
1477,rey arripuku adhi munda sollu apu ra,hate
1478,afterall comedy kosam valla nanna nee kuda vadalatles,hate
1479,ni family motham oke type anti ra,hate
1480,memu videos chusthe kani meku annam kuda dorakadhu alantappudu mammilini yedavalu ni chesi anukoku ra nayana sollu apu,hate
1481,love de ke bal anukuntaru,hate
1482,ni comedy kosam mi nanna paruvu thisthunnav kadara,hate
1483,evrithe e joke ki navvado vadu oh peddh eripuk gaadu,hate
1484,moddaguduv,hate
1485,chillara vedu,hate
1486,naku thelisi rc gari eyes lo power ni correct ga use chesukunnadi matrampuri garu mathrame in chirutha lo,non-hate
1487,once upon a time rc acting ni enthala troll chesevaaroippudu vaalle rac acting ni praise chesthunte aa kick a vere level,non-hate
1488,ram charan eyes lo aa fire choostunte goose bumps,non-hate
1490,asal charan anna looks evariki undav highly sprb looks,non-hate
1491,super settiandi voice to video,non-hate
1492,atla vuntadi rc tho,non-hate
1493,haaa calu chalau okaaaa akalitho vunaaa lion eyes avi jai mega power starjai charan jai jai charan,non-hate
1494,rc koncham height unte bagundu,hate
1495,mamuluga undadu anna ne entry brooooo,non-hate
1497,vorini vidu anthem inhem movies lo ki vellipoyadu,non-hate
1498,great raa baabu movies loki vellipoyava ra baabu,non-hate
1499,bro mangalyamlo mee acting osm,non-hate
1501,nuv inka successful ga avvalani korukuntunna negative comments pattinchukoku brother nee interview lo nuv padina kastam vinnaanu nenu im very happy to your success,non-hate
1502,kasta padithe eppudu pratipalam untundi congratulations,non-hate
1504,assalu expect cheyaledu nenu sudden entry and surprise,non-hate
1505,super darling nuvvu vachaka janamlo ooopu vachindhi,non-hate
1506,broooooooooooooooo chala mandiki untai pailsu neku vachindi movie lo chancesu pola adiri pola all the best bro,non-hate
1507,anna nenu evvale e cinema chusa super cinema bro ne entry super,non-hate
1508,anna assalu yevvaru nuvvu different ga try chesav famous iepoyav nuv super bro,non-hate
1511,sunil anna vunte sandade veru movie antha chala fun ga vuntundi,non-hate
1512,kadupuki annam thintunnavaa biryani thintunnavaaawhat a comedy dialoguereally super,non-hate
1513,sunil unte aa sandadi veru,non-hate
1515,yevari daggara sunil lanti friends unnaru,non-hate
1516,suni anna comedy na mazaka,non-hate
1517,amit shaw ki slippers vesthu bathukuthunnadu telugu vaari gowravaanni gujarat gadidhala dhaggara thaakattu pettesthunnadu,hate
1518,ee cheppulu mose banisa sanjay ki intha avasarama,hate
1519,modi ki telugu raadhu bandi ki hindi raadhu,hate
1520,mana janalaki telivi ledhu,hate
1522,bandi oka vest fellow,hate
1523,ipudu atleast kcr ni jobs aduguthu thiduthunnaru bjp vasthe memu maa pillalu pranalatho unte chalu ayya ee matha kalahaalu vaddu ani edustaaru doubt unte north india up ki trip esi raandi nirakshyarasya matha jhaadya paripaalana chusi raandi,hate
1524,delhi valane namithe ongi ongi dandalu patala ante banisalu chaskuntaru,hate
1525,pilli ki bicham veyani ma karimnagar bandi sanjay nuv karimangar lo kanisam oka gunthalo matti aina posava e roju nuvvu pedda peddda matalu matladuthunnav thu nammakandi ra babu e naatakalu,hate
1526,evadu gelichina mana brathukulu maravu,hate
1527,shabash gundu andariki baga gundu kodutunnav shabash chetta bjp,hate
1528,bochu pikanddii,hate
1529,banisa bathukulu vaddu,hate
1530,natti gadu bagane techadu prajalni desam peru cheppi,hate
1531,boggemi kadhu vedu vidi dramalu,hate
1532,seggu leni modi and department,hate
1533,nenu deshanni nuvvu telanganani shanka nakinchu antunnadu,hate
1534,shoes amithsha modi kinda oodigam chey,hate
1535,last ki chepu mostunadu,hate
1538,hi akka nen nunnu chusanu,non-hate
1539,miru famous ayipoyaru akka,non-hate
1541,superrr vunnav,non-hate
1542,chala great andi ila cheyalanty chala dare vundali,non-hate
1543,sisternelanti vaallu thaluchukuntey condecterley kaadhu collectorlu avthaarukalaakarulavtharuneku suport chestunna ne family kia p s r t c ki ne tharupuna thanks cheptunna,non-hate
1544,sridevi drama company jaan se madam super bellary district sandur taluku,non-hate
1546,village piilla super,non-hate
1547,eddaru super,non-hate
1550,city akka bala vastaaru akka miru mi out fit super ga akka love you so much akka,non-hate
1551,green dress sis super ga chesaru,non-hate
1552,village ammayi super,non-hate
1553,city akka supper,non-hate
1554,ya meru cheyagalaru jai janasena,non-hate
1555,correct ga chepparu sir next time meru cm kavali,non-hate
1556,kulam ane godala meedha ye system nilapadadhu,non-hate
1557,pichi hospital lo join avara ayomayam,hate
1558,malli kapu card pattukunnav kada,hate
1559,me kastam palinchali sir,non-hate
1560,padavi kulaniki kaadhu sir capability and charector unna manishiki stop talking about caste,non-hate
1561,ok mari maa sc cast ki esthava siggu undali,hate
1562,kulam gurinchi matladakunda eeyana meeting complete avvadu,hate
1563,bongemi kaadu muyyara salu puka,hate
1564,ayya kulaala gajji vadhulu nee straataji baaga ledhu nuvv saadhinchalev,hate
1565,kalyan ram garidi cinemalo one man sho,non-hate
1566,movie superb malli malli chudalanipstundhiiii super super super,non-hate
1567,movie aithe chaala ante chaala bagundi part kooda twaraga vachi gana vijayam sadinchali thank you kalyan ram garu and vassishta garu chaala baaga thisaru ituvanti kotha kotha movies inka yenno cheyyalani manaspurthiga korukuntunnanu,non-hate
1568,cinema motham super andulo ee scene inka highlight,non-hate
1569,wow charan very handsomechala slim ga vunnav bhale muddhu vasthunnavmaa chiru anna koduku ante naku chala istam,non-hate
1570,koncham over action ekkuva undi ra anu deep needi,hate
1571,over action chayakandi ra pal laga migilipotaru,hate
1572,mi over action meru,hate
1573,eddari avataralu bale unnai ra baffun la,hate
1574,asallu emi undi ra swamy jathi rathnallu sollu comedy malli part two ante anthe kathajanelle chachipotharu,hate
1575,ggajuwaka pilla memu gajulollam kada super performance all the best,non-hate
1576,aa paata rojula record dance malla start ittayi,non-hate
1577,super madam dance chala bagavesaru,non-hate
1578,avnu nenu mimmalni chusanu chaala sarl,non-hate
1579,nv chala mandhi ki inspirational eppudu,non-hate
1586,johnny master a movie choreography chesthe aa movie lo signature step pan india avalsindhi,non-hate
1587,vere level lo undhi performance looking very handsome,non-hate
1589,bass jaani sir nuvvu e song ki cheyyaka pothe waste e song,hate
1591,nuvvu thopu raaaaaa bhai,non-hate
1592,jani anna rc annatho kalisi hero ga cheste choodaalani vundhi,non-hate
1593,style ga unav anna,non-hate
1594,neelaga andaru allo chinchali anna,non-hate
1596,anna nv janasena lo join antha ap lo next level untad,non-hate
1597,devududevudini chudafaaniki enduku raaraiah,non-hate
1598,craze aa nijaythi undi anna adi telusukuni matladu anna,hate
1599,ycp lo meeru emi cheyaleru jsp lo neeku nachhinattu vundavachhu,non-hate
1600,nuvvu jenasena lo cherali bro,non-hate
1601,sudheer ni timingi timing anna,non-hate
1602,twaralo telugollanta pichollawutaaru,hate
1603,sudder jafaa,hate
1604,e lavadalo jokulu kampu chesaru kada ra youth ni,hate
1605,comedian ante hyper adhi la vundaali suddheer gaadu same joke prathi program lo vaaduthaadu veedu assalu comedian kaadhu,hate
1606,verry pappa akhil,hate
1608,nakenti bhayya nazriya matladthunte manchu akka matladthunattundi,non-hate
1609,chala ibandi pettavu anna nuvvu maa chiru garini,hate
1610,sorry to say but chinna events ki velthe ilaney jarugutundi,hate
1611,arey babu memu chinnappati nunchi chiru fans pls dont hurt us first chiru next evarina maaku,non-hate
1612,eee generation ki…mee value telidhu sir…,non-hate
1613,areyy vanni mental hospital loo join cheyyadraaa,hate
1614,naku boothulu vasthunnay chiranjeevi anthati vyakthine vere vallaa laga imitate cheyyamantunav n,hate
1615,banisa la unnaru kadara meeru me overacting,hate
1616,edo audio function ki vacha kadha extralu chaste kaya kosta,hate
1617,mee movie hit avvadam chala happy gaa vundhi sir all the best kalyan ram garu,non-hate
1619,anna prabhas annani amina ante assalu baagodu,hate
1620,dongathananga kaadhu anna paisal bengi ichhindi ala cheppandi,hate
1622,assembly lo thittukodanike miru vachedhi,hate
1624,mi nanna ni chepinadi nivera,hate
1626,appudu me nanna kapadindu yanni thappulu chasina ur father knows your character andhuke nuvvante ayanaki estam ledhu,hate
1628,sometimes nuvvu vacchinanduku chala feel avutunna ninnu ilanti position lo vunchina naaa lanti die hard fans ni chustunte anna,non-hate
1629,ilanti comedy valle movie flop aindhi,hate
1630,andhuke cinima utterflop aindhi nithin anna chala careful ga select cheskovali scripts,non-hate
1633,chi pooja hegde tho polika anti aame kante meere baaguntaaru,non-hate
1635,ammai heroine la try chesthe bagundu super undi,non-hate
1636,beautiful ammai ni pattu konae verae name tho enduku pilustaru,non-hate
1637,anchor nuvvu super ga vunnavu,non-hate
1638,vagdhevi nuvvu heroinega prabhas gari tho heroinega cheyyandi superga vuntundhi prabha vs vagdhevi,non-hate
1640,anna e video sarla chusina thandri kodukulo madhya unna prema super ma dhisti thaguluthundhi emo bhaya amithundhi,non-hate
1641,bahusa father and son antey ilagey vundalemo great father and good son,non-hate
1642,yes annaramcharn great meetharvatha rc okkade,non-hate
1643,ma charan annayya baghunnadhu love you dad,non-hate
1644,antha ma ramcharan annaya manchitanam,non-hate
1645,goppa vaari kadupulogoppa vaare pudataaruanna maata mea visayam lo corect,non-hate
1646,andharki daddy laki kodkulu pudtharu kani mega star gariki manchi vaadu puttadu,non-hate
1647,prabhas antey oka level and oka range,non-hate
1648,prabhas ki shoulder leg surgery chesaruu then how can he maintain six pack body he also human being i think now recent prabhas pics r good,non-hate
1649,bahubali time antha baganey unnav anna tharwatha ee sahoo ki radhe shyam nachinatlu frnds tho sitting uu food padypoyav anna ayina sarey darling ee no one,non-hate
1652,anna plz pellichesuko sir age plz anna,non-hate
1653,crying kadhu ekkuva thagesi vunnadu,hate
1657,fans ki rowdies anna tagline pettinodu prematho arey anadam tho thappu ledu,non-hate
1659,fans ki respect ivvslira arye ntira,hate
1660,arey memu ticket konte ne ra ne chethilo mike nuvvu nilabade stage,hate
1661,vijay devarakonda is my attitude heroandharu hero lu okalaga unte vijay matram vere laga untadulets support him,non-hate
1662,rendu cinemala ke kallu nettinekkinay,hate
1665,andhuke dhula baga thirindhi annaaaa,hate
1666,picha na kodaka vinipisthunda ra vijay ga,hate
1668,friendly ga annadu,non-hate
1670,box office amma mogugu charan anna,non-hate
1672,naku chala istam anasuya,non-hate
1673,epudu anna video asalu,non-hate
1674,inkenni rojulu wait cheyali bro,non-hate
1677,kcr katham inka,hate
1680,pspk andarini encourege chestadujai janasenani,non-hate
1683,cinema industry ka king kalyan annaya,non-hate
1684,bajana party gallu kalyan garini vadu kuntunnaru andharu,hate
1685,election time lo ni kallu poyaya,hate
1686,mundhu ne cinema lu chusukora,hate
1687,ituvantivi matlade cinemalu nashanam chesukuntunnav,hate
1688,vadu baney unnadu nuvvu chusko nedi,hate
1689,ede ithey adi rgv nijaallu baga oppukuntaaru,non-hate
1690,rgv tho antha veasyy kaadu,non-hate
1692,frist time chusthunnara rgv okarini ela unnaru ani aduguthe,non-hate
1693,yadhava ni yadhava laage treat chesthaaaru,hate
1694,maa veedhilo prathi roju chettha theesukelle bandi vasthuni vaallu cheptharu thadi chettha oka vaipu podi chettha oka vaipu veyandi ani kaani ee chetthani ye vaipu veyyalo cheppaledu,hate
1695,nuvuu edhava sir edhi naa,hate
1696,vedava ki brand ambassador sir miru,hate
1697,harsha inner felling madhya lo veedu arustunadu,non-hate
1698,ma manasulo feeling mere cheppasaru,non-hate
1699,enno kullu jokulu chusna bhayya kani idi peaks,non-hate
1700,ee styles and mannerisms present andaru vaduthunnaru mana industry lo,non-hate
1704,mee ayya farmhouse unte mee ml lu appudaina mee ayyani chusindra lolly ga,hate
1706,naa sanka naku mari,hate
1709,comparison bagundhi kaani result matuki bigboss result avvakudadhu blockbuster hit kottali,non-hate
1710,alaga pogidikoni seda dengaru andaru,hate
1712,ee vaakhyam rrr lo ram charan jail scene dheggara vaadaru,non-hate
1714,paytm kukkalu ekkada idi kuda cbn gare plan chesaru antaremooo,hate
1719,andra prajalaku siggu undali sontha amma nu chellini patinchukoleni vadu meemanli chusukuntadu,hate
1720,nice ga side ayaru mi ru jagon kiladilu,hate
1721,eppudaina mi putra ratnam gurinchi nijam cheppandi vijayamma gaaru,non-hate
1722,amma correct ga cheppaavu mi koduku antha donga ippudaina nammu talli,hate
1725,aat tatha on fire,non-hate
1726,meeru super sir,non-hate
1727,jayamu jayamu chandranna jayamu neeku chandranna,non-hate
1730,ram entra babu intha andamga undau super,non-hate
1731,lips thin ga unte baguntundi,non-hate
1732,krithi please nee pallaku clips veyinchuko teeth chala munadariki vachay,hate
1735,suma em maraledu ade over action,hate
