S.No,Comments,Label
HATE_1978,jagan kd no behavior is like thuglaq after some time jagan kd no will make capitals in ap jagan will ask modi to make capitals for india east west north south capitals,non-hate
HATE_1979,study chesi kcr em pikindu velumundra ayina pm position lo undu that is modi,non-hate
HATE_1980,desha ki pattina daridram modi,hate
HATE_1981,elaanti sannasi matalu vinalani maku ledu mundu sari ga matladu mariyada ichi puchukovale anthegani telangana slag ani memilage matladtha mante vere partila telanganollu kada,non-hate
HATE_1982,​kcr ni cm chesindi ilanti sannasi panulu cheyadanikekad cathakakapothe musuko,non-hate
HATE_1983,​veedu jagan sanka baga nakeshadu,hate
HATE_1985,​trs party lo telangana kosam poradina valle unnara poratam ki vyatirekam ga unnollani ministers ala chesinarugurivinda ginja ki kinda unna macha kanapadadu,non-hate
HATE_1986,thu bandhu lu andaru rythulaku echinattu andaru dalithulaku dalitha bandhu estarameeru m ina mee own amount estunnara ma amt make estunnara,non-hate
HATE_1987,​chandrababupedayana patra postunara cgantalu jagan titunte matlaadatara,non-hate
HATE_1988,​jai anitha akka jai tdp jai telugu desam jai lokesh jai tdp,non-hate
HATE_1989,​venkata reddi yadava ninnu cheap gah vallu kanapade thantharru take care,hate
HATE_1990,me koduku ki eva ra poka,hate
HATE_1991,rayalaseema leders povali jsp ravali pavan kalyaan garu real indian real god jai bheem,non-hate
HATE_1992,jagangadu povali pawankalyangaru cm khavali rastam bagupaddali jai janasena jai pawankalyan,non-hate
HATE_1993,meeku assalu em matladalo kuda telidhu edo vaagaali vaaguthaaru nv pedda leader vi nv cheppindhe nijam enduku paniki maalina debate lu,non-hate
HATE_1994,ycp party roudy rajyam tharimikotali,hate
HATE_1995,kodali nani jagan sanka baga nakeshadu,hate
HATE_1996,janasena vallaki subject ledu ye debate aina okate note,non-hate
HATE_1997,​ycp rip jai janasena jai pspk,non-hate
HATE_1998,​ lakh crore apu cheshadu yekada poyayi sigu leni lanja,hate
HATE_1999,​wow pawan jee what a idia ur running mak govt with movie style most hilight comedy of pawan garu enjoy jai hind jai jagan,non-hate
HATE_2000,niku family undi gah ra jagratamma venkata,hate
HATE_2002,the great honest true leader pawan kalyan sir cm kavali nyayam jaruguthundhi ap prajalaki sir,non-hate
HATE_2005,meeru chaalaabaagaacheppaaru brother,non-hate
HATE_2006,miru enta mothukunna prajalu mararu elections vaste tisukoni vote vestaru,hate
HATE_2007,jayaho janasainiks oka lakadi gadi gurinchi time waste chesukovaddu prajalu chepputho kotte rojulu daggaralo unnayi,hate
HATE_2008,super tammudu,non-hate
HATE_2015,mike tyson tho puri tho cheyadam vijay luck,non-hate
HATE_2016,telufu interview lo hindi comments enduku chupistunaru ma cinema antha fame aindi ani chepukodanika,hate
HATE_2017,mekalu flower thinna tharutha vijay deverakonda anna himalaya vellipovali,hate
HATE_2018,ananya baaga kathal padthundu enthaina bollywood kada,hate
HATE_2019,charmi ki edo ayindi navvaleka sachipothundi,hate
HATE_2021,suma athi thelivi vd haadi attitude promotion motham dobbesindi,hate
HATE_2022,charme intha over action enduku chestondi,hate
HATE_2023,sodi akkuvuga undi matter ledu doubt hey,hate
HATE_2024,charmie chiraku teppistundi,hate
HATE_2025,e roju e liger movie chusa uttar flop movie jeevitham meedha virakthi puttipoyindhi,hate
HATE_2026,suma garu koncham thagichuko,hate
HATE_2027,em kanapadathunnayi bokka,hate
HATE_2029,anna miru thaggadhu miru thopu mi tharvathe avaraina,non-hate
HATE_2032,mega star ane person definitely evadu oppukunna oppukokapoyinaa inspiration to many people long live sir,non-hate
HATE_2033,ilanti avamanalu chiru ni megastar ga nilabettai he is our inspiration love you chiru,non-hate
HATE_2034,dear chiranjevi sir meku yavaru blame chasina ne kosam memu unamu ee pranam unanta varaku,non-hate
HATE_2035,ippatiki mee anna vinayangaa chethulukattukoni nilabaduthunnadu,non-hate
HATE_2036,aa yedawa daddamma yewadoo kaadu mohan babu,hate
HATE_2037,director skill mida prati pakodi gaadu comment cheyadamey comments lo judge laaga,hate
HATE_2040,megastar tho dutt garu movies theesthey industry hitscharan janvi tho thwaraga jvas thiyyandi dutt garu,non-hate
HATE_2041,ippudu unna vedavalaku yemi telusu anna chiru,hate
HATE_2042,father constable ani cheppukodaniki siggu padutunnadu adava maradu inspector ani cheppukuntadu nelantolla valle mega family entha edigina evadiki respect ledu,hate
HATE_2043,ikkada konni snow kukkalu morugutunnay,hate
HATE_2044,aapandi ee dabba maatalu chiranjeevi garu good and inspiration for upcoming aspirants of film starshe never spoke as degrade actor of like uevery time u ur pk brother bringing his name into controversial issues,hate
HATE_2045,nuvvu pedda dramagadivi,hate
HATE_2046,mammalni inspire avvamantunnaav mari nuvvenduku inspire avvalekapoyaav antha goppa vyakthini intlo pettukuni nuvvem peekaav aayana peru use chesukuni chillara poguchesukovadm thappaa,hate
HATE_2047,self dabba yekkuva indhi nagababu nevu ne bussu lu thoo,hate
HATE_2048,vadu vani over action rod la undi movie the great tyson garini joker ni chesesaru,hate
HATE_2049,motham cinema podaniki ne over action matala valle kondanna,hate
HATE_2050,bokkalo maddagudu,hate
HATE_2051,konda gani over action kompamunchindi,hate
HATE_2052,indiani shake cheyatam api poori di when cheyyi rasam vostsadi,hate
HATE_2053,industry lo inni movies flop ayinay vijay puri ante enti antha lokuva meeku thaathalu thandrulu frame tho vasthe ne movies chusthaara,non-hate
HATE_2076,i think ycp ki election last anukunta,hate
HATE_2078,ee country lo evaru ekkadikaina vellacchu ex minister adhi thelusuko mundhu neeku mind dobbinatluvundhi ministry pongane,hate
HATE_2080,nani garu meeku ciggu vundha mundu paripalana cheyandi nanigaru,hate
HATE_2081,election lo odipothe orey kodali kodini kosinatla kostaru gurtu pettuko,hate
HATE_2082,election lo odipothe orey kodali kodini kosinatla kostaru gurtu pettuko,hate
HATE_2083,neku ministar padavi poiana sigguledu nanigaru,hate
HATE_2084,veedoka sankara jaati santanam malli veedu matladdam,hate
HATE_2086,vache election tarvatha nuvu ekkadiki veltavo chudam go to assam sir,hate
HATE_2087,orey niku siguledu ni kendhukura chandrababu hero raorey niku siguledu ni kendhukura chandrababu hero ra,hate
HATE_2089,orey appudaina navvutu matladav ra broker na kidaka,hate
HATE_2090,yadavalu andaru mla la,hate
HATE_2091,reay nani nuvvu first respect ecchedi nersukoo nuvakka mla nikokka minister padavi nikundi next neki mla padavi untundoo emo chuskoo nuvvu pawankalyan anna gurunchi matladtava yrs back nuvvu yevoroo ani evvariki teledu nuvvu weast gadivi ntr gurinchi chandrababu gurinchi andaru weast ha mee ysrcp mka matramena great chupistaru ley next election lo,hate
HATE_2093,veedu eppatiki maradu,hate
HATE_2097,ntr kadhu bey ntr garu give respect,hate
HATE_2098,power ni misuse cheyani leader dayakar rao garu,non-hate
HATE_2103,lakshmi paravathi bsthapitam cheste mi cbn telagana lo bustapitam chesadu tdp ni,hate
HATE_2106,vadanam kavalanta daniki ntr ne burst patinchindi sexiest,hate
HATE_2109,janasena evarithoo kaliste vallu sanka naki poddi,hate
HATE_2113,bjp malli ade double game maatladutondiamaravathi meeda,hate
HATE_2114,tdp ki yeppatikaina maa anna ntr garey paggalu chepadathadu,non-hate
HATE_2115,vijay devarakonda hype tho dhamal jr ntr next turn meeru akashaniki ethe antha great actor emi kaadu,hate
HATE_2116,pawan kalyan gaari range ki thaga heroes leru,non-hate
HATE_2119,ni moham ante kada,hate
HATE_2120,ap ki manchi rojulu vasthundhi,non-hate
HATE_2123,cbn sir ap kosam meeru ipudu manchi decision thesukunnaru,non-hate
HATE_2124,anni kalisi velthe ne votes diffrent ippdu cm ga unndu ippduendhi meeru peekedhi wait cheyyndi varaku,hate
HATE_2125,nda thoo tdp potthu ap bhavishyuth ki manchidy,non-hate
HATE_2126,thank you rrr tdp ki bratkinchadamulo mi krushi marvalenidi cbn gariku,non-hate
HATE_2128,raju garu me pandula gumpulo pakka state party laki kuda techukuni poti cheyandi adangi vedavallara simham single jagan single ga vostadu meku dabidi dibide,hate
HATE_2134,im full ram charan fan ee song keka mobile lo audio times vinna movie blockbuster congratulations kalyan ram anna,non-hate
HATE_2136,unexpected song asalu theater lo chusaka mind poindhi aapatti nundi waiting ee video song kosam,non-hate
HATE_2140,bimbisara lo unna anni songs chaala bagunnay,non-hate
HATE_2146,amazon prime lo lucifer ani type chesthe story enti complete movie osthundhi,non-hate
HATE_2149,vallu andharu godavalu lekunda bagane vuntaru nelanti valle over action cheysthuntaru,hate
HATE_2151,bocchem kaadu andharu waste galle,hate
HATE_2152,kapu ante balupu kaaadureddy chowdary veellaki unnantha balupu kapu ki undadu,hate
HATE_2159,congress chesina aa thappu ippudu congress party address lekunda poyindhi,hate
HATE_2160,maadi andhara guntur naa aveda telangana khammam im telugu peoplesjai telugu,non-hate
HATE_2161,ma daridram vadili poindi ra babu,hate
HATE_2168,road pakkana vallu andaru bayatiki vachavuga,hate
HATE_2169,mirror mirror ichadu devudu podhune chusuko amma chance ela ichestaru nee moham nuvy ni ae face petukoni vachestaru amma babu industry ki,hate
HATE_2170,chavu nenu avadu apadu,hate
HATE_2171,swathi naidu ki srireddy ki cheppu amma pathivratha,hate
HATE_2172,chi chi ye graham nundi ocharra babu vellu veellani adavallu ani kooda antara,hate
HATE_2173,direct red light area nunchi vaccharu anukuntathu thu,hate
HATE_2174,vammoooem anna action aah e action movie lo chala hits vachevi,non-hate
HATE_2175,i love you rakul dhairam ga undu,non-hate
HATE_2176,vippi thiriginaudu lendhi evalla ed case book ithy noppi vasthundha niku siggu undale kadha annam thintunava inka m thintunav,hate
HATE_2177,ktr kuda press meet padthey baguntadi,non-hate
HATE_2178,parents ani ippudu antunnav meru movies lo chese romance parents ni drushti lo pettukoni children ni drushtilo pettukoni chesthunnara,hate
HATE_2186,super ga chepparu like a teacher good knowledge,non-hate
HATE_2187,chala baga chepparu sri reddy garu plz continue and all the best,non-hate
HATE_2195,true mamu monna ap liquor tagamu ongolu lo worest quality india lo akkada vundadu,hate
HATE_2197,paramboku ias officers ni vetiki kcr jagan tesku vachi ap telangana lo pedtaru,hate
HATE_2198,votes vesi gelipinchukonivisham taaguthunnaru ap people,hate
HATE_2199,lani tondaraga jail ki pampali appude prajalu prasaanthanga untaru,hate
HATE_2200,vote vesetappudu jagratthaga alochinchi nijayathi parulaki vote veyyali lekapothe ilaage untundhi,non-hate
HATE_2201,arey babu neevu mandu thagava pachi abaddalu chepputhunnaru neevu press munduku vachi matladedi mandu kotti kada dhairyam kosam,hate
HATE_2203,confirm ga cheptunna one week lo case close chestaru ammai ku justice garagadu ade poor people inte ippatile encounter chesindevallu,non-hate
HATE_2205,major minor ani alochinchi crime chesara every crime must be punished minor musugulo mla kodkuni tapinchela unaru a ichi,non-hate
HATE_2206,cc lo unnadhi audi car and nd car ki bumper ledhu kani ippudu unnadhi audi car benz ayindhi,non-hate
HATE_2207,traffic police pikthunara nundi number plate petkokunda tr number tho untey,hate
HATE_2208,media mundhu enduku pettatledhuasalu nijamganey arrest chesara,non-hate
HATE_2209,andarni encounter chesi padeyandi sir file close cheseyandi matter over,hate
HATE_2210,evidence unna mla kodukuni arrest cheyaledhu police lu ki dammu ledhu,hate
HATE_2211,minor major ani kadhu mind set important major ithe emina chayacha first e role thisayali,non-hate
HATE_2212,first aa ammai family ki security ivvandi night night emaina jaragochu,non-hate
HATE_2213,disha case lo encounter chesaru mari e case lo encounter chese dammu undaha,hate
HATE_2219,fuchur world cup ni drusti lo pettukoni bcci rohit ni ceptain ga select chesindi kohli lo goppa captain kani okka sari kuda icc cup gelavalekapovadam valla rohit ki chance echindi,non-hate
HATE_2220,mundu aa thumbnail thiseyandi please respect players evadu ani ala thumbnails pettakandi,non-hate
HATE_2221,arey ntv meeku hindi english rakunte musukoni undu kohli manchiga cheppadu rohit manchi friend ani idhi yrs nuchi cheppi cheppi alisipoya ani mee news kosam godava pettakandi,hate
HATE_2222,india ki enno match lu gelipinchadu,non-hate
HATE_2223,anchor talli please give respect to the elders may be ka pal is very bigger than you,non-hate
HATE_2224,kohili lanti player india ki dorikina great player,non-hate
HATE_2225,kohli mundu aata kante attitude meeda focus cheyyali greedy fellow vadito manchi ga vunte team lo chance istadu,hate
HATE_2228,karma ra babu yesterday kohli interview lo clarity ga cheppaduga mallem ra babu ilanti sollu cheptharu,hate
HATE_2229,vadapav gaadu icc trophy elaa win aiythadoo neenu chusthaa,hate
HATE_2231,ede antha fack news,non-hate
HATE_2232,niku cheppada kohili one day adanu ani,non-hate
HATE_2234,inka yeppudu marutharu ra meru news chepadam kuda rakapothe channel musukoni velipondi meeru me chillar news channels have some standard u bloody news channels school kids can have more basic common sense better than your reports,hate
HATE_2235,adhi bcci kaadhu business cricket india,hate
HATE_2236,sodhi tappa em ledu indulo cheppindi cheppi okate music,hate
HATE_2237,kohl carrier niii tokkalanii chustunnaru evaroo,non-hate
HATE_2238,aree babu anchor niku virat vchi chpnda nak rohit ki godval unnay ani chpnapud nikendhuk ra dhula muskoni undaka,hate
HATE_2239,asalu meeku elaa telustunnay rohit ki and kohli ki godavalu unnay ani politics ni ilaane chedagottaru ippudu malli cricket meeda paddara eraa meku intha kante manchi jobs dorakava thu,hate
HATE_2240,kohli lekapote gelvaru ra sullli galllaraa,hate
HATE_2241,chetha ra babu ntv,hate
HATE_2242,chepina sode times chepave,hate
HATE_2243,virat kohli thopu dammunte appu king always kingeeeee,non-hate
HATE_2244,bjp anti hindu kotha party power loki ravali congressbspsptmcaapseesee new startup is waiting,non-hate
HATE_2245,prophet muhammad even married his own bahu zainab was wife of prophet adopted son,hate
HATE_2246,prophet marry year old aisha,hate
HATE_2247,raja singh kalthi maal ammutharu and rowdy gunda,hate
HATE_2249,vadu oka pulihora jagan gadu,hate
HATE_2250,jagan corporate ki paniki radu waste fellow,non-hate
HATE_2253,anna nuv goppa yodhudivi entha mandhinaina edhuristhaav great anna,non-hate
HATE_2257,malla reddy peddha erripuku gadu clg motham scam,hate
HATE_2261,modi oka mordern day hitler,hate
HATE_2262,chetta media pade pade kualam peruvtistundi ade mana states lo tiyagalada oka rendu samajika varagam nunde cm avtunnaru mari cheyagalara ledu,non-hate
HATE_2264,devi nagavalli nuvvu kani regsin cheyakunde mi intiki vachi champi pari dengutha,hate
HATE_2268,rk ki sugar ekkuva uncha apuko pakanna vadidhi cheppadhi vinnu,hate
HATE_2274,anna creativity ki super anna ekadavo vethiki mari pettavu nuvu thopu,non-hate
HATE_2275,boycott bollywood pakwood beef eater pichhwada sungher boycott brahmaastra,hate
HATE_2276,liger debbadi konda anna gudda mooskoni vunnaru,hate
HATE_2277,pila nibha star vijgay overkonda guddakonda,hate
HATE_2280,assoya aunty and snow aunty manchi vallu,hate
HATE_2285,arey meeru poorugullu patti potaru ra ma vd anna support cheyandhi,non-hate
HATE_2286,ntha brainwashed gorrelu chesthunnaru inko vargam enti ante bjp bots ssr influencers ga mari yuvatha ni thappu thovva pattisthunnaru a,non-hate
HATE_2287,antha lnja ananya inka sulli legaleni karan johar valla,hate
HATE_2288,ntr rc fans kuda troll cheyali because vijay devarakonda indirectly targeted ntr rc on the day of liger trailer release konda meeku ma nanna thata teliyadu ani anadu naku vijay devarakonda disaster movies telusu,hate
HATE_2289,inko rendu padithey aa migatha dula kuda theerpoddi uday kiran,non-hate
HATE_2290,vd manchi actor kaani konchem decent ga matladite andariki nachutundi and mee vd inka famous hero avvochu kada just my opinion anthe,non-hate
HATE_2291,vd overconfidence valla ciniema dengindhi,hate
HATE_2292,porapatuna cinema bagaledu janalu raledu ante paristiti vijayintlo padukovalsinde,non-hate
HATE_2294,langota gadu vadu valle desham anta covid vachindhi,hate
HATE_2295,moddalo china vallu pampulu kappalanu tinte edhey avuthundhi ni malla million deaths,hate
HATE_2296,lokham prathi covid patient ki winne the pooh nichi vasool chesukovali,hate
HATE_2297,​bharath matha ki jai,non-hate
HATE_2304,nupur sharama rape cheshi dengutha,hate
HATE_2305,prophet mohummad oka years ammai dengadu,hate
HATE_2306,yogi ni cm cheyadam valla up lo communal fights ekkuva ayyayi hindubjp,non-hate
HATE_2307,lanja nupur sharma valla desham sankanakipoyindhi,hate
HATE_2308,abboo siggulekundaa vadu matladina matalu okkadu kuda levaledu ikkada just for hate in modi how much low can go anywhere,non-hate
HATE_2310,owasi gah nuvvu gudda mosuko nuvvu ha nupur desham malla loki poyindhi kill owasi rapenupur,hate
HATE_2311,donga munda bjp party rapists brahamins anni vadilidengaru villaka manam vote vesindhi oustmodi,hate
HATE_2315,niku champi pindam peteydhi neny ra kcr,hate
HATE_2316,​kcr dalita cm ani mosam chesinattu deshaprajalanu mosam cheyalevu,non-hate
HATE_2317,britain chethulu kaalayi chinas drama la thoti so jaagratha has britain vundaali britain konni thyagaalu cheyyali,non-hate
HATE_2319,central la bjp ye undi gaara kcr ni yem peekaleru ani ardamaindhi,non-hate
HATE_2320,jetla ​india ni developed cheyadam evarivalla kadani thelisipoindi prajalakiunnodi inka unnntha lenodiki inka lenanthalife tho brathakali thappadu,non-hate
HATE_2321,banda puku jay gadu bat ela patuvukovali kuda telidhu bcci lo em pani,hate
HATE_2322,pm modi ni pakisthan ki tarmidengali jai kcr mere next pm,hate
HATE_2323,mandhi hindus ni champina modi malla vadu oka pm,non-hate
HATE_2324,women ki respect ledhu malla vadu oka yogi malla ha modda cm kurchi lo vundhi,hate
HATE_2325,raja singh nuvvu ni karra tagubthu mokam neeku mokham nuvvu mla ela ayyavu,hate
HATE_2326,asla murmu president ela ayindhi india parvu poyindhi ni karra mokham eskoni,hate
HATE_2327,arey thagu bothoda nuvvey cheppinav ga ra yekaraluani enti oka job annav eppudu nen analey antav endi ra bewakoof cm ga,hate
HATE_2329,media lu bjp thothulu bjp ni chusi avaru vote veyaru candidate chuastharu anni andhari ke thelusu jai congress,non-hate
HATE_2330,owasi bros nupur raja singh ni pakistan ledha andaman ko tarmidengali the people who divide india,hate
HATE_2331,arey devudi dabbulu ra avi vati gurinchi nduku ra asha kakapothay…devudu dabbu devudikay…dani kuda too much chestru meru,non-hate
HATE_2332,chiru papam lal singh chada valla cr loss aiyadu,non-hate
HATE_2336,ndharu evarni choosthunnaro kaane nenu maatram real hero sonusood sir ni choosthunna,non-hate
HATE_2337,evadiki vadu acting eraga tistunnaru,non-hate
HATE_2338,rgv ki siggu ledhu ammail ni oka sex doll laga choostahru,hate
HATE_2340,jai rgv jai puri,non-hate
HATE_2343,anna malla reddy nv me college lo fee thakuva cheyu chalu nv kaarmikulani billionaires chesthava,non-hate
HATE_2344,fingerprint mallareddy pedda donga na kodku,hate
HATE_2346,malla reddy garu meru ap ni kindaparicharu talangana lo vantana andra pradesh prajalu satam vnaru gutupetukondi noru jararu meku ok vesayamtelusa cm kcr ktr vizayanagaram bedani telusa chutu pakala andra valuvnaru megastar chiranjeevi anr ntr valadi kuda andra pradesh jagrata malla reddy ki dolaterustru jai andra jai telangana,non-hate
HATE_2348,rgv gadu canipovali vadi chettabandi ayina chestha,hate
HATE_2349,orey baffun gaa college fees lu thakkuvva chesthee nee mukaniki adi chaluu,non-hate
HATE_2350,are vidu ml thagi vachindo,non-hate
HATE_2351,malla anna ha puk gadu vadu kani danam cheyali pasnari puku vadidhi,hate
HATE_2352,kcr na madda chesindu rs,hate
HATE_2353,donganakodukulu ma mallana vadu chetha butta dabbulu erukoney rakam,hate
HATE_2354,malla anna niku picchi kani lesinndara sulliga,hate
HATE_2367,idini gelipinchina voters nizamga medhavulu,non-hate
HATE_2368,malla oka donga veda vadu lanja eshalu fees tagincharu gani desham ni uddharistharu,hate
HATE_2370,kcr ni chusi vallabhai patel anukunnademo,non-hate
HATE_2371,​bindu hi tinnava m chestunnav,non-hate
HATE_2374,samantha vachi ni payal chikala,hate
HATE_2375,aunty anushaya make up esthe aunty laga vunnavu make up esukokapothe grandma laga vuntavu,hate
HATE_2378,pichi pattatina malla reddy murki kaluvalo dabbulu eruthu dorikadhu,hate
HATE_2381,orey pichi ka paul ekkada nuchi dengay already ap jagan tho almost nasitam ayindhi malla nuvvu next cm ha po ra pichi yedava,hate
HATE_2383,malla manchi erri puku vodu,hate
HATE_2386,ananaya panadey ni nuvvu koja la acting neek endhkey cinimalu,hate
HATE_2387,orey puk puri mari anta moddalo cinimea endhuku tesavavu cheppu oksari,hate
HATE_2388,poyi central appulu chudu hunger index inflation poverty unemployment etc telangana lo least unemployment and development is peaking up rapidly,non-hate
HATE_2390,amma telaganama buthulu nerpina gaanama this is the butulua rajayam na moddala telangana,hate
HATE_2392,bandi breaks goranga tisadu super,non-hate
HATE_2395,as he is a hindu hes fighting against all such stupidism and its no where relevant to crossing party line,non-hate
HATE_2400,raja singh ki em pani pata ledha eppudu langa kathalu dengutharu paata nachaka potey gudda moskoni dengey ekkdada nunchi,hate
HATE_2406,dsp nuvvu asala manchi manishi ledha bazzar lanja vi ha,hate
HATE_2407,raja singh inka subramianchi swai iddaru mosali modda gallu asla mi badha enti,hate
HATE_2411,asla munawar ni endhuku deport cheyali chesthe ni pellam puku deport chestha,hate
HATE_2418,munawar moosi nadhi ayina nooru valla enni godavalu deport munwar to afghan or syria,hate
HATE_2419,muslims andarini pakistan ledha afghan ko deport cheyali,hate
HATE_2423,sanjay kumari first ma raja singh free cheyandhi ledhu ante mi moddalo party vachina vote luda vundhahiu,hate
HATE_2424,ee muslims minority lo vuntay secular equal rights kavali valaku muslims majority lo vuntay above equal rights kavali apudu valaku secularism gurthuradu examplskeral,non-hate
HATE_2425,muslims hindu devullanu entha thittina parledhu kaani hinduvulu mee devudini thidithe thappenti,non-hate
HATE_2426,asalu munnavar ki hyderabad lo show ki ela permission istharu government desperately need violence in state to gain political mileage,non-hate
HATE_2432,yogi yogi na moddalo yagi mi up ekkada kerala ekkada mi vallani english kuda radhu rowdy moddalo metho maku comparision enti,hate
HATE_2437,old city lo vallani pakistan ki tharimi dengali india with only hindu,hate
HATE_2440,useless trs vallani champidenagli vallu hindus ey kadhu,hate
HATE_2443,bandala anna majaka asla maatalu ha comedy salute,non-hate
HATE_2444,rana blood lo vundhi actiong,non-hate
HATE_2445,pogadali rana ni kuda hypocritic director,hate
HATE_2446,bahubali hero rana ani maku thelusu sir,non-hate
HATE_2447,edo sollu chepthadu,hate
HATE_2448,nvvy nee build up,hate
HATE_2449,eka sodi cheppadam maymu venadam aripapalam,hate
HATE_2450,yedichav le copy cat veshalu nuvvu,hate
HATE_2451,peekinav teei,hate
HATE_2453,super star krishnagari movie vundiga ee name tho movie,non-hate
HATE_2454,cinema ku title ku samndham ledhu average,non-hate
HATE_2455,title leak ayithe entiii leak avakapothe entiiimaku enti yee golaaatitle entooo mee build up entooo,hate
HATE_2456,leak endhi ra secret aaa dhii,hate
HATE_2457,emi thintaru sir miru age daggare agipoindi,non-hate
HATE_2458,mahesh anna… disappointed with this movienext movie hit avvali…,non-hate
HATE_2459,sollu cheppalante veedi tarvathe raa dabba babu,hate
HATE_2463,nenu kuda yedi chesina moodurojula muchatalaagane vuntadi sir continues ga days chesi life long habit ga chesukundamu ante avvatamle,non-hate
HATE_2464,ee principal ni studies lo use cheste upsc clear cheyagalam,non-hate
HATE_2465,antha navvem raaledhu in fact chiraaku vachindi,hate
HATE_2466,naku adhe kavali shudheer anna,non-hate
HATE_2467,vedu maradu,hate
HATE_2470,prabhas anna and mahesh anna iddari combination lo manchi pan indian movie cheyali peda hit koduthe dimma terige povali iddari acting addarakottali,non-hate
HATE_2471,prabas gaaru ante ok madhya jalaganna endhuku raa oh prabas ki dhisti thagalkunda undatanika,hate
HATE_2472,prabhas ki elanti cheep unnanduku chala badhaga undhi,hate
HATE_2473,mahabharatam lo sakhuni mama famous mana andhra bharatam lo jagan mama famous,hate
HATE_2474,arri pappa prbhas aunty barre fece vanidhi,hate
HATE_2475,veedi comedy kosam valla nannani kuda vadalaledu,hate
HATE_2476,stage ekkithe chalu sollu,hate
HATE_2477,rey arripuku adhi munda sollu apu ra,hate
HATE_2478,afterall comedy kosam valla nanna nee kuda vadalatles,hate
HATE_2479,ni family motham oke type anti ra,hate
HATE_2480,memu videos chusthe kani meku annam kuda dorakadhu alantappudu mammilini yedavalu ni chesi anukoku ra nayana sollu apu,hate
HATE_2481,love de ke bal anukuntaru,hate
HATE_2482,ni comedy kosam mi nanna paruvu thisthunnav kadara,hate
HATE_2483,evrithe e joke ki navvado vadu oh peddh eripuk gaadu,hate
HATE_2484,moddaguduv,hate
HATE_2485,chillara vedu,hate
HATE_2486,naku thelisi rc gari eyes lo power ni correct ga use chesukunnadi matrampuri garu mathrame in chirutha lo,non-hate
HATE_2487,once upon a time rc acting ni enthala troll chesevaaroippudu vaalle rac acting ni praise chesthunte aa kick a vere level,non-hate
HATE_2488,ram charan eyes lo aa fire choostunte goose bumps,non-hate
HATE_2490,asal charan anna looks evariki undav highly sprb looks,non-hate
HATE_2491,super settiandi voice to video,non-hate
HATE_2492,atla vuntadi rc tho,non-hate
HATE_2493,haaa calu chalau okaaaa akalitho vunaaa lion eyes avi jai mega power starjai charan jai jai charan,non-hate
HATE_2494,rc koncham height unte bagundu,hate
HATE_2495,mamuluga undadu anna ne entry brooooo,non-hate
HATE_2497,vorini vidu anthem inhem movies lo ki vellipoyadu,non-hate
HATE_2498,great raa baabu movies loki vellipoyava ra baabu,non-hate
HATE_2499,bro mangalyamlo mee acting osm,non-hate
HATE_2501,nuv inka successful ga avvalani korukuntunna negative comments pattinchukoku brother nee interview lo nuv padina kastam vinnaanu nenu im very happy to your success,non-hate
HATE_2502,kasta padithe eppudu pratipalam untundi congratulations,non-hate
HATE_2504,assalu expect cheyaledu nenu sudden entry and surprise,non-hate
HATE_2505,super darling nuvvu vachaka janamlo ooopu vachindhi,non-hate
HATE_2506,broooooooooooooooo chala mandiki untai pailsu neku vachindi movie lo chancesu pola adiri pola all the best bro,non-hate
HATE_2507,anna nenu evvale e cinema chusa super cinema bro ne entry super,non-hate
HATE_2508,anna assalu yevvaru nuvvu different ga try chesav famous iepoyav nuv super bro,non-hate
HATE_2511,sunil anna vunte sandade veru movie antha chala fun ga vuntundi,non-hate
HATE_2512,kadupuki annam thintunnavaa biryani thintunnavaaawhat a comedy dialoguereally super,non-hate
HATE_2513,sunil unte aa sandadi veru,non-hate
HATE_2515,yevari daggara sunil lanti friends unnaru,non-hate
HATE_2516,suni anna comedy na mazaka,non-hate
HATE_2517,amit shaw ki slippers vesthu bathukuthunnadu telugu vaari gowravaanni gujarat gadidhala dhaggara thaakattu pettesthunnadu,hate
HATE_2518,ee cheppulu mose banisa sanjay ki intha avasarama,hate
HATE_2519,modi ki telugu raadhu bandi ki hindi raadhu,hate
HATE_2520,mana janalaki telivi ledhu,hate
HATE_2522,bandi oka vest fellow,hate
HATE_2523,ipudu atleast kcr ni jobs aduguthu thiduthunnaru bjp vasthe memu maa pillalu pranalatho unte chalu ayya ee matha kalahaalu vaddu ani edustaaru doubt unte north india up ki trip esi raandi nirakshyarasya matha jhaadya paripaalana chusi raandi,hate
HATE_2524,delhi valane namithe ongi ongi dandalu patala ante banisalu chaskuntaru,hate
HATE_2525,pilli ki bicham veyani ma karimnagar bandi sanjay nuv karimangar lo kanisam oka gunthalo matti aina posava e roju nuvvu pedda peddda matalu matladuthunnav thu nammakandi ra babu e naatakalu,hate
HATE_2526,evadu gelichina mana brathukulu maravu,hate
HATE_2527,shabash gundu andariki baga gundu kodutunnav shabash chetta bjp,hate
HATE_2528,bochu pikanddii,hate
HATE_2529,banisa bathukulu vaddu,hate
HATE_2530,natti gadu bagane techadu prajalni desam peru cheppi,hate
HATE_2531,boggemi kadhu vedu vidi dramalu,hate
HATE_2532,seggu leni modi and department,hate
HATE_2533,nenu deshanni nuvvu telanganani shanka nakinchu antunnadu,hate
HATE_2534,shoes amithsha modi kinda oodigam chey,hate
HATE_2535,last ki chepu mostunadu,hate
